Id,ActivityDate,DayOfTheWeek,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalActiveMinutes,Calories
1503960366,4/12/16,Tue,13162,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25,13,328,728,366,1985
1503960366,4/13/16,Wed,10735,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21,19,217,776,257,1797
1503960366,4/14/16,Thu,10460,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,222,1776
1503960366,4/15/16,Fri,9762,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29,34,209,726,272,1745
1503960366,4/16/16,Sat,12669,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,36,10,221,773,267,1863
1503960366,4/17/16,Sun,9705,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,38,20,164,539,222,1728
1503960366,4/18/16,Mon,13019,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,42,16,233,1149,291,1921
1503960366,4/19/16,Tue,15506,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,50,31,264,775,345,2035
1503960366,4/20/16,Wed,10544,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28,12,205,818,245,1786
1503960366,4/21/16,Thu,9819,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19,8,211,838,238,1775
1503960366,4/22/16,Fri,12764,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,223,1827
1503960366,4/23/16,Sat,14371,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,41,21,262,732,324,1949
1503960366,4/24/16,Sun,10039,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,39,5,238,709,282,1788
1503960366,4/25/16,Mon,15355,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,73,14,216,814,303,2013
1503960366,4/26/16,Tue,13755,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31,23,279,833,333,1970
1503960366,4/27/16,Wed,18134,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,332,2159
1503960366,4/28/16,Thu,13154,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,48,28,189,782,265,1898
1503960366,4/29/16,Fri,11181,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16,12,243,815,271,1837
1503960366,4/30/16,Sat,14673,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,52,34,217,712,303,1947
1503960366,5/1/16,Sun,10602,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,33,35,246,730,314,1820
1503960366,5/2/16,Mon,14727,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,41,15,277,798,333,2004
1503960366,5/3/16,Tue,15103,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,50,24,254,816,328,1990
1503960366,5/4/16,Wed,11100,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,0,36,22,203,1179,261,1819
1503960366,5/5/16,Thu,14070,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,45,24,250,857,319,1959
1503960366,5/6/16,Fri,12159,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24,6,289,754,319,1896
